"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
136,2012-12-03 05:30:00.000,2012-12-03 10:00:00.000,270.000000000000000,3,12.900000000000000,41,18.000000000000000
137,2012-12-03 17:00:00.000,2012-12-03 18:00:00.000,60.000000000000000,42,17.500000000000000,58,78.000000000000000
138,2012-12-05 15:50:00.000,2012-12-05 17:50:00.000,120.000000000000000,65,21.100000000000000,49,93.600000000000000
139,2012-12-05 23:50:00.000,2012-12-06 03:10:00.000,200.000000000000000,19,30.000000000000000,2,45.600000000000000
140,2012-12-11 15:30:00.000,2012-12-11 17:00:00.000,90.000000000000000,45,12.000000000000000,54,51.600000000000000
141,2012-12-12 15:00:00.000,2012-12-12 17:00:00.000,120.000000000000000,48,12.200000000000000,65,90.000000000000000
142,2012-12-13 16:00:00.000,2012-12-13 18:00:00.000,120.000000000000000,57,15.500000000000000,15,66.000000000000000
143,2012-12-14 14:10:00.000,2012-12-14 16:30:00.000,140.000000000000000,33,18.300000000000000,3,69.600000000000000
144,2012-12-15 17:00:00.000,2012-12-15 21:00:00.000,240.000000000000000,62,34.800000000000000,62,90.000000000000000
145,2012-12-16 18:30:00.000,2012-12-16 21:00:00.000,150.000000000000000,34,30.000000000000000,33,54.000000000000000
146,2012-12-18 00:30:00.000,2012-12-18 04:30:00.000,240.000000000000000,2,14.200000000000000,61,45.600000000000000
147,2012-12-20 03:20:00.000,2012-12-20 04:30:00.000,70.000000000000000,31,6.300000000000000,31,14.400000000000000
148,2012-12-22 01:30:00.000,2012-12-22 05:00:00.000,210.000000000000000,2,17.800000000000000,2,45.000000000000000
149,2013-01-12 17:15:00.000,2013-01-12 22:40:00.000,325.000000000000000,8,32.000000000000000,8,96.000000000000000
150,2013-01-15 17:30:00.000,2013-01-15 19:30:00.000,120.000000000000000,3,12.900000000000000,43,30.000000000000000
151,2013-01-18 23:30:00.000,2013-01-19 02:15:00.000,165.000000000000000,47,6.400000000000000,14,18.000000000000000
152,2013-01-22 03:00:00.000,2013-01-22 09:00:00.000,360.000000000000000,52,10.400000000000000,52,21.600000000000000
153,2013-01-25 03:30:00.000,2013-01-25 04:30:00.000,60.000000000000000,3,14.200000000000000,3,38.400000000000000
154,2013-01-30 05:25:00.000,2013-01-30 06:45:00.000,80.000000000000000,30,15.500000000000000,30,41.000000000000000
155,2013-01-31 03:20:00.000,2013-01-31 06:20:00.000,180.000000000000000,51,6.400000000000000,51,72.000000000000000
156,2013-01-31 23:15:00.000,2013-02-01 00:15:00.000,60.000000000000000,60,10.200000000000000,60,60.000000000000000
157,2013-02-02 12:40:00.000,2013-02-02 16:10:00.000,210.000000000000000,17,21.800000000000000,25,57.600000000000000
158,2013-02-02 16:40:00.000,2013-02-02 18:15:00.000,95.000000000000000,4,13.700000000000000,3,43.200000000000000
159,2013-02-03 12:30:00.000,2013-02-03 17:00:00.000,270.000000000000000,62,57.700000000000000,62,120.000000000000000
160,2013-02-04 15:00:00.000,2013-02-04 17:30:00.000,150.000000000000000,4,23.900000000000000,4,61.200000000000000
161,2013-02-04 19:25:00.000,2013-02-04 21:30:00.000,125.000000000000000,30,16.000000000000000,30,4.200000000000000
162,2013-02-04 23:30:00.000,2013-02-05 02:40:00.000,190.000000000000000,33,46.500000000000000,34,63.600000000000000
163,2013-02-05 13:20:00.000,2013-02-05 16:00:00.000,160.000000000000000,55,17.000000000000000,26,48.000000000000000
164,2013-02-05 16:00:00.000,2013-02-05 19:00:00.000,180.000000000000000,72,15.000000000000000,72,60.000000000000000
165,2013-02-06 14:30:00.000,2013-02-06 17:00:00.000,150.000000000000000,35,15.200000000000000,35,72.000000000000000
166,2013-02-07 16:50:00.000,2013-02-07 18:30:00.000,100.000000000000000,61,28.400000000000000,61,108.000000000000000
167,2013-02-08 13:30:00.000,2013-02-08 16:30:00.000,180.000000000000000,5,44.900000000000000,5,130.000000000000000
168,2013-02-08 16:30:00.000,2013-02-08 21:30:00.000,300.000000000000000,24,22.600000000000000,24,48.000000000000000
169,2013-02-09 01:15:00.000,2013-02-09 02:15:00.000,60.000000000000000,65,8.100000000000000,65,48.000000000000000
170,2013-02-09 18:15:00.000,2013-02-10 01:15:00.000,420.000000000000000,25,29.200000000000000,25,50.000000000000000
171,2013-02-10 01:30:00.000,2013-02-10 10:30:00.000,540.000000000000000,210,30.700000000000000,210,96.000000000000000
172,2013-02-10 12:00:00.000,2013-02-10 14:00:00.000,120.000000000000000,26,13.000000000000000,5,18.000000000000000
173,2013-02-10 16:10:00.000,2013-02-10 19:00:00.000,170.000000000000000,5,23.100000000000000,6,97.200000000000000
174,2013-02-11 00:30:00.000,2013-02-11 04:25:00.000,235.000000000000000,15,13.700000000000000,15,49.200000000000000
175,2013-02-11 14:30:00.000,2013-02-11 17:45:00.000,195.000000000000000,67,11.700000000000000,26,54.000000000000000
176,2013-02-12 19:30:00.000,2013-02-12 22:40:00.000,190.000000000000000,58,15.500000000000000,22,66.000000000000000
